"gene","FC_RARA","FC_RARG","FC_Combo","category"
"Bhlhe40",0,-1.79632214249489,0,"RARG Unique (n=163)"
"Palmd",0,-0.897270169704032,0,"RARG Unique (n=163)"
"Efna5",0,0,-0.51221862130851,"Combo Unique (n=173)"
"Apopt1",0,0,1.53126269834436,"Combo Unique (n=173)"
"Lmnb1",0,-2.91441271594434,0,"RARG Unique (n=163)"
"Plcl1",0,0,0.572116367839158,"Combo Unique (n=173)"
"Zfp874b",0,0,-1.94733344154247,"Combo Unique (n=173)"
"Suco",0,0,1.20669938059413,"Combo Unique (n=173)"
"Impact",0,-0.753133373085951,0,"RARG Unique (n=163)"
"Hs3st4",0,0,-0.648608993495285,"Combo Unique (n=173)"
"Rpl24",0,0,1.571150065847,"Combo Unique (n=173)"
"Rhobtb3",0,0,-1.27056087080927,"Combo Unique (n=173)"
"Trim44",0,0.565542788740538,0,"RARG Unique (n=163)"
"Tvp23a",0,-2.29025266866845,0,"RARG Unique (n=163)"
"Gfpt1",0,0,1.39052888229475,"Combo Unique (n=173)"
"Nob1",0,-2.80185508772584,0,"RARG Unique (n=163)"
"Sgcd",0,0,-0.510939348663318,"Combo Unique (n=173)"
"Glrx3",0,0,2.20780902193252,"Combo Unique (n=173)"
"Ppig",0,0.983258012314159,0,"RARG Unique (n=163)"
"Dgkd",0,-0.791191312359372,0,"RARG Unique (n=163)"
"Wdr75",0,-1.61719868601249,0,"RARG Unique (n=163)"
"Ndst3",0,0.503445740121779,0,"RARG Unique (n=163)"
"Eif4g3",0,0.504197352121773,0,"RARG Unique (n=163)"
"Igsf8",0,0,-1.17918025179979,"Combo Unique (n=173)"
"Sec16a",0,1.35600113674121,0,"RARG Unique (n=163)"
"Zkscan3",0,1.23443435171037,0,"RARG Unique (n=163)"
"Cdc42",0,0.768588924186726,0,"RARG Unique (n=163)"
"Snx5",0,0,1.70308537107083,"Combo Unique (n=173)"
"Zbtb17",0,-2.07466948150318,0,"RARG Unique (n=163)"
"Fem1b",0,1.7735388535913,0,"RARG Unique (n=163)"
"Nploc4",0,-1.26053939298691,0,"RARG Unique (n=163)"
"4930570B17Rik",0,1.07778494231149,0,"RARG Unique (n=163)"
"Syngap1",0,0,1.01276423165922,"Combo Unique (n=173)"
"Ap3s2",0,-1.8111345334344,0,"RARG Unique (n=163)"
"Hnrnpa2b1",0,0,0.620117181463328,"Combo Unique (n=173)"
"Nf1",0,0,0.624189942207623,"Combo Unique (n=173)"
"Riok2",0,0,-2.71401273714129,"Combo Unique (n=173)"
"Eif4e3",0,-1.65106371460083,0,"RARG Unique (n=163)"
"Shank1",0,0,-0.706602068440579,"Combo Unique (n=173)"
"Pakap.1",0,0,-0.863575426229992,"Combo Unique (n=173)"
"Mob4",0,0,1.68570697886317,"Combo Unique (n=173)"
"Zbtb41",0,0,-1.32071187033891,"Combo Unique (n=173)"
"Zfp653",0,-5.57383275901509,0,"RARG Unique (n=163)"
"Nipa2",0,-1.47117257996692,0,"RARG Unique (n=163)"
"Rogdi",0,0,-2.28181405855396,"Combo Unique (n=173)"
"Pdlim7",0,0,-1.76354904700496,"Combo Unique (n=173)"
"Gatad2b",0,0,0.544603200942877,"Combo Unique (n=173)"
"Fau",0,1.25954793412834,0,"RARG Unique (n=163)"
"Coro1c",0,0,1.53076190580911,"Combo Unique (n=173)"
"Akap7",0,0,0.949365205563351,"Combo Unique (n=173)"
"Zfp407",0,0,0.54274844857377,"Combo Unique (n=173)"
"Aacs",0,-2.0500665135546,0,"RARG Unique (n=163)"
"Cdh7",0,-1.43469722325449,0,"RARG Unique (n=163)"
"Gm48747",0,0,1.07531558071403,"Combo Unique (n=173)"
"Mtmr7",0,-0.882055640664558,0,"RARG Unique (n=163)"
"Syt14",0,-0.661274829252189,0,"RARG Unique (n=163)"
"Usp11",0,-1.1854786463959,0,"RARG Unique (n=163)"
"Cdk7",0,-1.86605235171696,0,"RARG Unique (n=163)"
