"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.503080427718543,0.252146762224349,0.336,0.311,1,"Pid1"
0.50363997672903,-0.39114833762099,0.048,0.067,1,"Mpc2"
0.50363997672903,-0.504843677139707,0.048,0.067,1,"Cep57l1"
0.503664250952268,-0.126748269931574,0.104,0.133,1,"Samd4"
0.503904972214519,0.303729092759099,0.316,0.278,1,"Fam193a"
0.503912504544113,-0.670324458296079,0.092,0.111,1,"Chic2"
0.504035995567431,-0.145077463304969,0.792,0.756,1,"Cacna1a"
0.504063090106714,0.0821989449340098,0.172,0.133,1,"Man1c1"
0.504115712306635,-0.198781626502107,0.052,0.033,1,"Slc38a10"
0.504205118750314,-0.265101122868224,0.128,0.156,1,"Cdc40"
0.504227177517966,-0.206664139092725,0.108,0.078,1,"Vps4b"
0.50436921232627,0.305200334583067,0.088,0.067,1,"Cdkl1"
0.504394139056567,-0.264078660370345,0.3,0.322,1,"Ankhd1"
